id,name,description,type,price,image_url,created_by,created_at
6ee284fa-618b-470a-8253-5d980bf9a786,pin,xdxdxdxdxd,mesh,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786837915132-chatgpt-image-15-ago-2026-12-38-33.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T23:52:13.625829+00:00
92265279-29ec-48ce-8e2a-1135ab186ed2,skin 1,,asset,150,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786837956917-chatgpt-image-15-ago-2026-14-13-26-4-.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T23:54:02.779448+00:00
dcd0c172-58c8-454a-bcf8-dd72204b7d18,skin 2,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838147018-chatgpt-image-15-ago-2026-14-13-26-3-.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T23:56:00.478874+00:00
97ea20fd-b43e-41db-bcce-dd1584cdfc93,skin 3,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838181346-chatgpt-image-15-ago-2026-14-13-26-5-.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T23:56:35.870704+00:00
637f6c5f-cef1-4074-92e3-b3f297e67c1c,mapa 1,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838536959-bosque-maldito.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-16T00:02:35.283664+00:00
59232c06-e6bc-40e5-9299-68c0e348106c,creo es son efectos,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838569208-chatgpt-image-15-ago-2026-14-15-17-3-.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-16T00:03:10.600267+00:00
4366ee86-7f31-48e6-8282-879de385e7a1,mapa 2,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838619102-fabrica-del-eco.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-16T00:03:50.821594+00:00
f244ce56-4651-4990-8407-0472b13eb3b7,mapa 3,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838657038-platano-del-lamento.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-16T00:04:38.591652+00:00
c8e4c472-da43-447e-a3db-733082db5162,The Trip Wanderer,"Figura de arte urbana de edición limitada, fabricada con un acabado mate premium texturizado. Presenta un diseño estilizado de silueta oscura con espinas dorsales orgánicas y grandes ojos blancos contrastantes de alto impacto visual. Ideal para coleccionistas de Designer Toys y entusiastas del arte contemporáneo moderno. Incluye una base circular integrada que aporta máxima estabilidad y elegancia en cualquier estante o vitrina.",mesh,150,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786828639964-chatgpt-image-14-ago-2026-21-48-43.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T21:20:58.619651+00:00
b3870e5e-d4ed-4a02-8bca-6e033c29afbb,mapa 5,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838707551-santuario-ruinas.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-16T00:05:22.021985+00:00
f2e5cee0-2174-4d13-8d29-4614ed55ec18,mapa 4,,asset,0,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786838688796-ruinas-olvidadas.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-16T00:04:59.75705+00:00
5eb991bd-33fb-413b-b96b-e481b7aafacb,"Gorra Snapback ""TRIP"" ","Gorra de color negro con la palabra ""TRIP"" bordada en el panel frontal en letras blancas con efecto goteo o escurrido. En el panel lateral izquierdo tiene un bordado pequeño de una criatura o monstruo con cabeza circular. Cuenta con visera plana y ojales de ventilación en la parte superior.",mesh,399.99,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786830955841-chatgpt-image-14-ago-2026-21-49-00.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T21:58:58.875915+00:00
81b01edf-434a-479d-8c8f-ef9a6bc08b65,The Trip Wanderer Heavy Hoodie,"aca va una descripcion 
",mesh,369,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786830676034-chatgpt-image-14-ago-2026-21-48-54-2-.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T21:33:27.081127+00:00
46b39b3a-962c-495b-97f0-5dd6b881a4ff,"Funda ""Bosque Sombrío"" ",,mesh,349,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786833295446-chatgpt-image-14-ago-2026-22-09-44.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T22:38:32.846735+00:00
c00a71d2-3c1c-460b-85a8-c274d78af7cd,"Playera ""Trip Wanderer""",aca va algo,mesh,269,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786831401496-chatgpt-image-14-ago-2026-22-06-42.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T22:31:55.403816+00:00
5e8726e1-12c7-46ad-b773-a3f625bfe693,Peluche,jgkujgkj,mesh,199,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786837735727-chatgpt-image-15-ago-2026-12-12-36.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T23:50:04.702748+00:00
8e37b000-0661-4dfa-8df1-c899ad070231,llavero,,mesh,60,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/assests/productos/1786837856414-chatgpt-image-15-ago-2026-12-19-01.png,00153047-cb08-4c14-92bc-07bb2e0d991a,2026-08-15T23:51:08.878383+00:00
