id,username,role,created_at,avatar_url
1af8337a-930c-4fbe-b3ba-34791ae71db2,Andy,admin,2026-08-20 00:22:53.273034+00:00,
00153047-cb08-4c14-92bc-07bb2e0d991a,admin_jcatarino,admin,2026-08-13 04:37:03.365255+00:00,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/Foto_perfil/Fotos%20usuarios/00153047-cb08-4c14-92bc-07bb2e0d991a/avatar.jpg?t=1786837206580
b1c056f8-8ebb-4e91-81d1-420efd9457bc,Pixel path,admin,2026-08-17 21:43:39.569973+00:00,
f89ba5fb-fb3f-401d-ab03-6b22550523bc,admin_isacc,admin,2025-09-20 21:40:33.046754+00:00,
328908af-4a71-49a6-8c6b-7804c10209a2,Jcatarino,admin,2026-08-16 23:34:52.652542+00:00,https://lgfsxfmnykanwxxqtpvl.supabase.co/storage/v1/object/public/Foto_perfil/Fotos%20usuarios/328908af-4a71-49a6-8c6b-7804c10209a2/avatar.jpg?t=1786840611433
fd14b45a-786c-4fca-ace2-079c5f7ab492,bot_28,user,,
71d371f7-dd94-4f62-a20e-95b02599dada,admin_dary,admin,2026-08-20 00:36:24.138509+00:00,
877808b9-2f42-414d-897d-f1931fa55bc6,gperera,admin,2026-08-20 00:56:28.557261+00:00,
dab2c731-5f46-40f8-bd2f-cd02a6b01765,bot_1,user,,
fa002e48-f09c-475c-97e1-39b3a4e08ae4,bot_2,user,,
7f87e769-cca1-43c2-ae6d-bd46541db7c1,bot_3,user,,
c7efd88b-266c-4f86-8896-88d500c86f8a,bot_4,user,,
943b2131-37c3-4a01-82de-321d2e973f90,bot_5,user,,
c26ac474-34fb-461a-8914-d10d62beab00,bot_6,user,,
8d177d30-e827-4fa5-bd40-bebd84e3a5ac,bot_7,user,,
ece980cc-99c3-4421-a803-806360ba8e56,bot_8,user,,
b931dc9d-0925-4bf9-9446-4b661c974db1,bot_9,user,,
a30f87eb-d43e-4aab-bd9a-13a57795a28c,bot_10,user,,
e1c2db93-ac53-4674-b140-6efbff449dc3,bot_11,user,,
5bb95b40-5267-4e28-a53d-615af718c159,bot_12,user,,
ef09c945-c9cf-4fbd-9361-4eb0af4daf11,bot_13,user,,
bf882462-3dbd-4ff9-8cb0-0fc4a220a6e0,bot_14,user,,
de22fabb-2bbc-4f24-b036-83c7bff791c7,bot_15,user,,
2d59a156-4b6b-4bd4-8dc6-8e44b92cbd69,bot_16,user,,
cab32b91-b75f-41fa-a725-355b48d9cb6e,bot_17,user,,
6c77ce4e-96f0-45b7-ad14-925a58fb9746,bot_18,user,,
dc6bf179-5797-451a-9496-23effd431a56,bot_19,user,,
9e2c2102-06cb-4bc1-80a7-3fcb69e64f0d,bot_20,user,,
a4cacf6e-605d-4e1b-8f3c-a8ba6460706c,bot_21,user,,
6d0df30f-8fd8-4829-9506-785ec74797e9,bot_22,user,,
b2750a6c-3d34-41df-9be0-12e08376207a,bot_23,user,,
a873deb4-33b5-455d-acdf-b9b44a31ef21,bot_24,user,,
77a070b3-1f84-40e0-ba97-a19c879c4f61,bot_25,user,,
82114986-d8eb-462f-a453-23b6c73d355f,bot_26,user,,
e731f0c5-f4bc-49da-9377-6a585ea60e71,bot_27,user,,
5e5792fc-a9f1-4ef6-97a4-0697dbdd62f0,bot_29,user,,
16a0d290-21cf-44a6-9303-116369d49a4d,bot_30,user,,
ab568adf-20b2-4e0c-9c1b-a5a1233e404f,bot_31,user,,
bcfa8eab-b295-4197-bf81-8f80cae0a219,bot_32,user,,
